OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
1221,Shelswell Park Solar Farm,Solar Photovoltaics,5,Operational
1222,Chittering Solar Farm,Solar Photovoltaics,5,Operational
1223,Kernow Solar Farm,Solar Photovoltaics,5,Operational
1224,Limes Farm Solar Farm,Solar Photovoltaics,4.6,Operational
1226,Bratton Fleming Solar Farm,Solar Photovoltaics,5,Operational
1227,Lee Farm,Solar Photovoltaics,5,Operational
1228,Woodlands Barton Solar Farm,Solar Photovoltaics,4.9,Operational
1229,Winsdon Farm,Solar Photovoltaics,5,Operational
1230,The Manor of Cadland Estate,Solar Photovoltaics,5,Operational
1231,Trenouth Farm,Solar Photovoltaics,3.6,Operational
1232,Callington Solar Farm,Solar Photovoltaics,6.4,Operational
1234,St Columb Major Solar Farm,Solar Photovoltaics,7,Operational
1235,Crossways Pit Solar Farm,Solar Photovoltaics,5,Operational
1237,Ayshford Court Farm,Solar Photovoltaics,5,Operational
1238,Andover Solar Farm,Solar Photovoltaics,5,Operational
1239,Oving Solar Farm,Solar Photovoltaics,5,Operational
1240,Grange Farm (Cornwall),Solar Photovoltaics,5,Operational
1241,Shipton Bellinger - Park House Corner Solar Farm,Solar Photovoltaics,5.4,Operational
1242,Wyld Meadow Solar Farm,Solar Photovoltaics,4.8,Operational
1243,Shooters Bottom Solar Park,Solar Photovoltaics,7,Operational
1244,Goldenhaye Field Solar Farm,Solar Photovoltaics,2,Operational
1245,Clearwell Farm - solar,Solar Photovoltaics,2,Operational
1246,Danes Farm,Solar Photovoltaics,3.3,Operational
1248,Langstone Court Road Solar Farm,Solar Photovoltaics,2.5,Operational
1249,Five Oaks Solar Farm,Solar Photovoltaics,5,Operational
1250,Culworth House Solar Farm,Solar Photovoltaics,3,Operational
1251,Warleigh Barton Solar Farm,Solar Photovoltaics,5,Operational
1252,Trenoweth Solar Farm,Solar Photovoltaics,2.5,Operational
1253,Wymeswold Airfield,Solar Photovoltaics,34,Operational
1254,Higher Hatherleigh Solar Farm,Solar Photovoltaics,3.5,Operational
1255,Barton Solar Farm,Solar Photovoltaics,1.2,Operational
1256,Clann Solar Farm,Solar Photovoltaics,1.4,Operational
1257,Dolmans Hill (Redbridge Farm) Solar Arrays,Solar Photovoltaics,5,Operational
1258,North Norfolk Business Centre Solar Park,Solar Photovoltaics,11,Operational
1259,Horsacott Farm Solar Park,Solar Photovoltaics,6.4,Operational
1260,Broxted Solar Farm (Stradishall Airfield),Solar Photovoltaics,31.6,Operational
1261,Pentylands Farm,Solar Photovoltaics,19,Operational
1262,Trefinnick Farm,Solar Photovoltaics,5,Operational
1263,Four Burrows Solar farm,Solar Photovoltaics,7.2,Operational
1266,Rudbaxton Solar Park,Solar Photovoltaics,10.8,Operational
1268,Hope Solar Farm,Solar Photovoltaics,7.3,Operational
1270,Culmhead Solar Farm ,Solar Photovoltaics,7.5,Operational
1271,Wheal Alfred Road Solar Farm,Solar Photovoltaics,3.5,Operational
1272,Blatchworthy Farm,Solar Photovoltaics,1.5,Operational
1273,Parsonage Barn (extension),Solar Photovoltaics,7.6,Operational
1274,BIOSSENCE SOLAR PARK,Solar Photovoltaics,4.5,Operational
1276,HENDRA HOLIDAY PARK SOLAR FARM,Solar Photovoltaics,1.2,Operational
1277,EASTACOMBE SOLAR FARM,Solar Photovoltaics,3.6,Operational
1278,Lodge Farm Solar Farm,Solar Photovoltaics,5,Under Construction
1279,Wrexham Social Housing PV,Solar Photovoltaics,5.4,Operational
1280,Creathorne Farm  - Solar Farm,Solar Photovoltaics,1.8,Operational
1282,Higher Pirzwell Solar Farm,Solar Photovoltaics,1.2,Operational
1283,Broadgate Solar Farm,Solar Photovoltaics,1.1,Operational
1284,CRAYSMARSH SOLAR FARM,Solar Photovoltaics,1.8,Operational
1285,SOLAR PARK - WHITCHURCH FARM,Solar Photovoltaics,6.5,Operational
1287,THE HOLLIES SOLAR PARK - SKEGNESS,Solar Photovoltaics,8.6,Operational
1288,AMBLESTON SOLAR PANELS,Solar Photovoltaics,6,Operational
1290,Ford Farm Solar Farm,Solar Photovoltaics,5,Operational
1292,Canworthy Water,Solar Photovoltaics,41,Operational
1293,Foxcombe Farm Solar Park,Solar Photovoltaics,5,Operational
1294,Liddeston Ridge Solar Park (Milford Haven),Solar Photovoltaics,5,Operational
1295,Bodwen Solar Park,Solar Photovoltaics,5.5,Operational
1296,Treswarrow Solar Park,Solar Photovoltaics,6.5,Operational
1297,Carnemough Farm Solar Park,Solar Photovoltaics,7,Operational
1298,Aller Court Farm Solar Park,Solar Photovoltaics,5,Operational
1300,Derriton Fields Solar Farm,Solar Photovoltaics,11.8,Operational
1301,Cleave Farm Solar Park,Solar Photovoltaics,4.7,Operational
1302,Four Burrows Farm  (Extension 2),Solar Photovoltaics,6.3,Operational
1303,Chelworth Industrial Estate Solar Park,Solar Photovoltaics,1,Operational
1304,Drapers Farm Solar Park,Solar Photovoltaics,6,Operational
1305,Week Farm Solar Park,Solar Photovoltaics,3.3,Operational
1306,Langton Farm Solar park,Solar Photovoltaics,4.4,Operational
1307,Says Court Farm solar park,Solar Photovoltaics,19.8,Operational
1308,Ketton solar farm,Solar Photovoltaics,9,Operational
1310,The Manor of Cadland Estate - extension,Solar Photovoltaics,3,Operational
1311,Rowles Farm solar park,Solar Photovoltaics,13,Operational
1312,Ryston Estate Solar Park,Solar Photovoltaics,4.8,Operational
1313,Reaches Farm Solar Park,Solar Photovoltaics,6.1,Operational
1316,Watchfield Lawn,Solar Photovoltaics,10.2,Operational
1321,Bicker Fen (previously Manor Farm),Solar Photovoltaics,22.6,Operational
1322,Witches Solar Farm,Solar Photovoltaics,5,Operational
1324,Burntstalk Solar Park,Solar Photovoltaics,11.5,Operational
1325,Claypit Moor Solar Farm (Lexham),Solar Photovoltaics,7.9,Operational
1326,Holton Airfield,Solar Photovoltaics,11,Operational
1327,Goose Willow Farm,Solar Photovoltaics,11.5,Operational
1328,Chediston Hall Solar Park,Solar Photovoltaics,12.3,Operational
1329,Burthy Farm,Solar Photovoltaics,10,Operational
1330,Caeremlyn Solar Farm,Solar Photovoltaics,18,Operational
1331,Hazard Farm,Solar Photovoltaics,6.4,Operational
1332,Home Farm (Merton - solar),Solar Photovoltaics,18.3,Operational
1334,Rudge Hill Farm,Solar Photovoltaics,1.5,Operational
1335,Sevor Farm,Solar Photovoltaics,9.3,Operational
1336,Marsh Farm,Solar Photovoltaics,14,Operational
1337,Four Burrows Solar farm (Extension 1),Solar Photovoltaics,1.5,Operational
1338,Old Rides solar Farm,Solar Photovoltaics,8,Operational
1339,Parabel North Beer Solar Farm,Solar Photovoltaics,6.8,Operational
1340,Crockers Hele,Solar Photovoltaics,1.3,Operational
1341,Bentley Motors Ltd 1,Solar Photovoltaics,5.1,Operational
1342,Northwick Estate (Extension),Solar Photovoltaics,2.2,Operational
1343,North Of Field Barn,Solar Photovoltaics,1,Operational
1346,Wroughton Airfield Solar Park,Solar Photovoltaics,41,Operational
1347,Forest Heath Solar Farm,Solar Photovoltaics,5,Operational
1348,Abbey Farm,Solar Photovoltaics,9,Operational
1354,Land at Soho Farm,Solar Photovoltaics,1.5,Operational
1355,Land South West Of Apollo Business Park,Solar Photovoltaics,1.7,Operational
1357,Manor Farm (Monmouthshire),Solar Photovoltaics,10.5,Operational
1358,Land at Mill Farm,Solar Photovoltaics,1,Operational
1359,Land at East Farm,Solar Photovoltaics,6.8,Operational
1360,New Rendy Farm,Solar Photovoltaics,4.8,Operational
1361,Reydon Farm,Solar Photovoltaics,3.9,Operational
1362,Copley Farm,Solar Photovoltaics,30,Operational
1363,Ellough Airfield (Ellough 2 extension),Solar Photovoltaics,10,Operational
1364,Nanteague Farm,Solar Photovoltaics,7.7,Operational
1365,Grange Farm (Burton Pedwardine),Solar Photovoltaics,15,Operational
1366,Wheat Leasows Solar Park,Solar Photovoltaics,4,Operational
1367,Honington Solar Farm,Solar Photovoltaics,13.6,Operational
1368,Hill Farm Solar Park,Solar Photovoltaics,10.2,Operational
1371,Homeland Solar Farm,Solar Photovoltaics,13.2,Operational
1372,East Fairlee,Solar Photovoltaics,7.3,Operational
1373,Fairwind Farm,Solar Photovoltaics,10,Operational
1374,Redlands Farm,Solar Photovoltaics,6.2,Operational
1375,Fenton Home Farm,Solar Photovoltaics,31.3,Operational
1376,Abbots Ripton Solar Farm,Solar Photovoltaics,24.7,Operational
1377,South Lees Farm,Solar Photovoltaics,11,Operational
1378,Southwick Estate,Solar Photovoltaics,48,Operational
1379,Waterloo solar park,Solar Photovoltaics,14.6,Operational
1382,Ketton solar farm - phase 2,Solar Photovoltaics,3,Operational
1384,Oak Cottage,Solar Photovoltaics,4.9,Operational
1385,Sycamore Farm,Solar Photovoltaics,20,Operational
1386,North Wayton Farm,Solar Photovoltaics,5,Operational
1387,South Creake Solar Farm,Solar Photovoltaics,26,Operational
1389,Pen Y Cae solar farm,Solar Photovoltaics,6.9,Operational
1391,Rose And Crown Farm,Solar Photovoltaics,30,Operational
1392,Wickfield Farm,Solar Photovoltaics,5,Operational
1393,Rookery Farm,Solar Photovoltaics,3.8,Operational
1395,Seaview Farm,Solar Photovoltaics,1.7,Operational
1396,Chelveston Airfield - extension,Solar Photovoltaics,3.5,Operational
1399,Huddlesford Farm,Solar Photovoltaics,1,Operational
1401,Park Lane,Solar Photovoltaics,1,Operational
1404,Gypsom Solar Farm,Solar Photovoltaics,5,Operational
